date,open,high,low,close,volume
2022-05-17,71.0,79.82,69.0,74.64,9910614.0
2022-05-18,65.89,71.0,61.55,68.9,8422773.0
2022-05-19,67.59,76.58,67.02,73.95,8081697.0
2022-05-20,74.0,75.26,65.5,65.51,7464345.0
2022-05-23,63.8,67.2,62.62,64.07,5542840.0
2022-05-24,62.1,62.48,55.01,55.1,6764662.0
2022-05-25,55.0,55.78,53.0,53.89,3947534.0
2022-05-26,53.95,54.5,51.48,52.46,3554481.0
2022-05-27,51.87,53.38,51.81,52.0,3195049.0
2022-05-30,52.2,54.2,50.11,54.2,3843747.0
2022-05-31,53.42,54.3,52.45,53.53,3079583.0
2022-06-01,53.02,54.78,52.12,52.37,3394033.0
2022-06-02,51.92,53.2,51.37,53.14,2568569.0
2022-06-06,53.71,56.54,53.71,55.81,3712623.0
2022-06-07,54.71,55.35,53.39,53.81,2546376.0
2022-06-08,53.5,54.39,52.25,52.55,2172017.0
2022-06-09,52.98,52.98,49.35,49.57,2523753.0
2022-06-10,49.0,50.24,48.6,50.04,1264121.0
2022-06-13,49.19,50.19,49.19,50.0,1076972.0
2022-06-14,49.51,49.69,47.1,48.57,1862972.0
2022-06-15,48.79,49.49,48.3,49.12,1456575.0
2022-06-16,49.8,51.79,49.5,50.48,2446931.0
2022-06-17,49.31,50.33,48.51,50.05,1755628.0
2022-06-20,50.17,50.96,49.91,50.3,1197100.0
2022-06-21,50.7,51.87,50.28,51.5,1702612.0
2022-06-22,51.49,51.78,49.29,49.29,1488190.0
2022-06-23,49.0,49.85,48.99,49.68,854600.0
2022-06-24,49.68,50.5,49.6,49.9,1236609.0
2022-06-27,50.13,50.89,47.01,50.3,1415713.0
2022-06-28,50.41,50.63,49.89,50.49,1131161.0
2022-06-29,50.55,50.78,48.27,48.64,1484438.0
2022-06-30,48.79,49.42,48.35,48.98,1096955.0
2022-07-01,49.6,49.6,48.0,49.25,900738.0
2022-07-04,48.83,51.0,48.83,50.74,1968592.0
2022-07-05,50.37,52.87,49.71,51.3,2727787.0
2022-07-06,51.02,53.18,51.02,51.7,2468537.0
2022-07-07,53.1,55.4,51.39,51.59,2432327.0
2022-07-08,50.8,54.55,50.53,53.47,2917273.0
2022-07-11,53.5,58.88,53.47,57.25,5302146.0
2022-07-12,56.79,58.25,55.56,56.0,2925365.0
2022-07-13,55.4,55.62,53.5,54.74,1999827.0
2022-07-14,54.02,60.97,54.02,60.73,3755085.0
2022-07-15,60.0,62.68,58.6,61.1,3418050.0
2022-07-18,61.0,63.08,59.0,62.25,2149389.0
2022-07-19,62.0,62.0,57.52,59.38,2051210.0
2022-07-20,59.38,60.68,58.6,59.7,1523957.0
2022-07-21,59.5,60.49,58.35,58.43,1124954.0
2022-07-22,58.1,61.25,57.13,58.29,1383653.0
2022-07-25,58.24,61.88,58.05,60.94,1814221.0
2022-07-26,60.21,61.57,57.38,60.5,1917171.0
2022-07-27,59.3,61.5,58.8,60.85,1416992.0
2022-07-28,60.86,65.85,60.8,62.1,1962986.0
2022-07-29,60.99,63.97,59.29,60.71,1640534.0
2022-08-01,61.0,65.66,60.28,63.51,1513433.0
2022-08-02,63.28,63.98,60.04,62.93,1582715.0
2022-08-03,62.03,65.4,61.29,62.9,1330368.0
