date,open,high,low,close,volume,amount
2025-06-23,5613.281,5684.397,5613.281,5674.17,11160180200.0,0.0
2025-06-24,5683.462,5766.019,5683.462,5765.837,14208225600.0,0.0
2025-06-25,5777.74,5866.525,5776.124,5862.553,18463231000.0,0.0
2025-06-26,5868.292,5885.251,5835.34,5838.245,18016416300.0,0.0
2025-06-27,5850.425,5905.696,5839.578,5863.728,19938972500.0,0.0
2025-06-30,5877.675,5918.307,5872.225,5915.388,16627514700.0,0.0
2025-07-01,5915.804,5936.924,5890.114,5934.67,15419236500.0,0.0
2025-07-02,5922.541,5922.541,5873.892,5892.951,16250048500.0,0.0
2025-07-03,5896.24,5929.727,5885.943,5922.66,13007004600.0,0.0
2025-07-04,5917.753,5969.303,5889.73,5911.435,16494106000.0,0.0
2025-07-07,5901.402,5910.804,5889.602,5900.406,13720736200.0,0.0
2025-07-08,5903.102,5979.627,5903.102,5977.744,16868114200.0,0.0
2025-07-09,5980.645,5992.135,5940.176,5953.487,16491440200.0,0.0
2025-07-10,5950.966,6000.686,5942.29,5983.051,17624260700.0,0.0
2025-07-11,5985.824,6057.623,5963.257,6027.079,22236309800.0,0.0
2025-07-14,6033.178,6042.886,6011.687,6020.859,18927744400.0,0.0
2025-07-15,6018.627,6049.787,5973.797,6018.758,18973623400.0,0.0
2025-07-16,6019.577,6061.199,5997.163,6017.195,14861006200.0,0.0
2025-07-17,6013.714,6082.464,6013.044,6082.464,14969265800.0,0.0
2025-07-18,6092.23,6112.11,6073.638,6099.61,15315220400.0,0.0
2025-07-21,6115.026,6162.44,6110.988,6161.309,20735050700.0,0.0
2025-07-22,6166.616,6215.406,6152.814,6213.407,24621164200.0,0.0
2025-07-23,6218.207,6256.152,6187.012,6196.758,25837789600.0,0.0
2025-07-24,6197.853,6293.598,6197.853,6293.598,26835556400.0,0.0
2025-07-25,6297.626,6311.169,6276.416,6299.591,23705532800.0,0.0
2025-07-28,6305.225,6329.03,6271.93,6323.42,21444826700.0,0.0
2025-07-29,6308.123,6356.15,6272.314,6356.133,20175762900.0,0.0
2025-07-30,6345.374,6368.269,6269.513,6314.687,21212841100.0,0.0
2025-07-31,6297.912,6322.065,6206.19,6226.343,22421423700.0,0.0
2025-08-01,6221.051,6253.658,6177.478,6213.201,16590719100.0,0.0
2025-08-04,6190.344,6261.962,6187.622,6261.731,14859148000.0,0.0
2025-08-05,6277.011,6303.236,6272.506,6303.236,15420666500.0,0.0
2025-08-06,6298.929,6357.59,6293.225,6357.377,16602763800.0,0.0
2025-08-07,6356.332,6366.214,6299.493,6337.543,17044640000.0,0.0
2025-08-08,6324.175,6351.335,6308.148,6323.5,17250752600.0,0.0
2025-08-11,6335.427,6404.833,6335.427,6391.76,17490919900.0,0.0
2025-08-12,6392.402,6418.16,6360.109,6418.16,16835191800.0,0.0
2025-08-13,6422.789,6514.456,6422.215,6508.098,21602242300.0,0.0
2025-08-14,6509.209,6519.794,6411.921,6429.846,22895316800.0,0.0
2025-08-15,6417.389,6570.499,6417.389,6568.57,24521724000.0,0.0
2025-08-18,6612.988,6709.781,6580.437,6668.173,30244822900.0,0.0
2025-08-19,6663.157,6707.114,6631.119,6655.311,25283927600.0,0.0
2025-08-20,6623.614,6728.069,6598.551,6728.069,24423390700.0,0.0
2025-08-21,6739.69,6767.323,6673.061,6704.166,24254016400.0,0.0
2025-08-22,6704.03,6823.363,6704.03,6822.847,25678382000.0,0.0
2025-08-25,6886.268,6967.796,6863.932,6951.896,33382894500.0,0.0
2025-08-26,6928.286,7008.963,6910.406,6964.065,28153238200.0,0.0
2025-08-27,6964.77,7074.63,6862.562,6862.562,32806018300.0,0.0
2025-08-28,6858.503,7011.16,6798.934,7011.16,30806178600.0,0.0
2025-08-29,7030.274,7078.923,6990.753,7043.942,28091581400.0,0.0
2025-09-01,7087.734,7110.687,7038.344,7110.288,28590831100.0,0.0
2025-09-02,7108.945,7108.945,6909.723,6961.689,29403653900.0,0.0
2025-09-03,6988.021,7003.268,6846.181,6868.462,25908326600.0,0.0
2025-09-04,6884.358,6906.692,6607.985,6698.447,27034189400.0,0.0
2025-09-05,6709.145,6919.336,6678.6,6913.953,24085745700.0,0.0
2025-09-08,6927.407,6995.718,6896.66,6992.117,24417430400.0,0.0
2025-09-09,6959.937,6999.731,6895.509,6928.965,22584355700.0,0.0
2025-09-10,6911.112,6977.767,6870.404,6932.109,18992286700.0,0.0
2025-09-11,6924.304,7123.052,6889.586,7122.705,24395106100.0,0.0
2025-09-12,7115.61,7200.156,7112.422,7147.749,26656750800.0,0.0
2025-09-15,7170.412,7174.891,7126.829,7137.363,23826572400.0,0.0
2025-09-16,7152.189,7195.425,7080.427,7190.993,24234918300.0,0.0
2025-09-17,7184.264,7265.393,7159.667,7260.035,25826444900.0,0.0
2025-09-18,7248.279,7350.977,7115.631,7199.883,34858954100.0,0.0
2025-09-19,7200.692,7231.999,7142.061,7170.349,27150719300.0,0.0
2025-09-22,7182.888,7225.858,7143.075,7225.128,23185806900.0,0.0
2025-09-23,7240.847,7250.816,7045.561,7180.714,28128363400.0,0.0
2025-09-24,7140.313,7327.021,7133.432,7323.709,24006493800.0,0.0
2025-09-25,7325.66,7379.611,7312.351,7341.324,23617503000.0,0.0
2025-09-26,7311.843,7351.793,7237.046,7240.911,21144414800.0,0.0
2025-09-29,7251.522,7377.222,7216.736,7350.56,23353941800.0,0.0
2025-09-30,7372.524,7428.031,7372.063,7412.368,22070750200.0,0.0
2025-10-09,7470.047,7559.092,7437.324,7548.923,28313078400.0,0.0
2025-10-10,7499.392,7509.116,7373.984,7398.224,26225664600.0,0.0
2025-10-13,7135.104,7391.825,7135.104,7376.564,25802781700.0,0.0
2025-10-14,7434.115,7459.016,7166.082,7194.851,27735887300.0,0.0
2025-10-15,7205.737,7294.001,7153.419,7294.001,21755977700.0,0.0
2025-10-16,7269.259,7305.947,7206.443,7231.534,19493637000.0,0.0
2025-10-17,7226.421,7254.579,7009.891,7016.066,20004411300.0,0.0
2025-10-20,7092.884,7129.994,7033.384,7069.641,17683419200.0,0.0
2025-10-21,7095.616,7193.73,7082.3,7185.624,20597382900.0,0.0
2025-10-22,7135.208,7166.557,7101.827,7128.478,16974325400.0,0.0
2025-10-23,7108.855,7153.656,7022.295,7142.954,18893373200.0,0.0
2025-10-24,7175.923,7258.534,7174.351,7258.534,19532393300.0,0.0
2025-10-27,7336.204,7391.212,7302.017,7379.394,23205182100.0,0.0
2025-10-28,7344.454,7404.756,7308.272,7341.03,20211846300.0,0.0
2025-10-29,7350.757,7480.967,7350.757,7480.967,22384413300.0,0.0
2025-10-30,7462.433,7463.653,7375.239,7385.711,24341203600.0,0.0
2025-10-31,7385.742,7430.856,7331.003,7331.003,23204167600.0,0.0
2025-11-03,7327.12,7336.511,7214.833,7333.601,22168706000.0,0.0
2025-11-04,7315.189,7323.704,7167.347,7210.825,19332584200.0,0.0
2025-11-05,7098.956,7257.84,7098.956,7229.341,19558024300.0,0.0
2025-11-06,7243.196,7352.177,7243.196,7345.723,20172296700.0,0.0
2025-11-07,7307.296,7371.438,7285.819,7327.911,19292057800.0,0.0
2025-11-10,7357.339,7384.785,7289.768,7343.802,20450133000.0,0.0
2025-11-11,7364.925,7379.806,7281.975,7291.608,19166031300.0,0.0
2025-11-12,7264.792,7305.856,7187.869,7243.248,18550701000.0,0.0
2025-11-13,7243.64,7366.412,7243.64,7355.291,19989023000.0,0.0
2025-11-14,7283.699,7329.596,7235.462,7235.462,20586491000.0,0.0
2025-11-17,7248.922,7262.331,7202.593,7235.351,20305060200.0,0.0
2025-11-18,7215.03,7230.542,7118.409,7151.018,20221412100.0,0.0
2025-11-19,7141.264,7178.15,7086.123,7122.747,16278660200.0,0.0
2025-11-20,7174.105,7180.732,7056.9,7061.95,15961874600.0,0.0
2025-11-21,6955.749,6986.778,6817.41,6817.41,20893338400.0,0.0
2025-11-24,6856.755,6905.923,6797.496,6868.966,16636391300.0,0.0
2025-11-25,6915.123,7018.47,6912.32,6954.603,16271253000.0,0.0
2025-11-26,6946.081,7024.882,6936.877,6965.045,14894352600.0,0.0
2025-11-27,6970.733,7045.845,6943.444,6951.284,13784110300.0,0.0
2025-11-28,6947.237,7031.712,6941.483,7031.551,14021118400.0,0.0
2025-12-01,7053.847,7101.832,7040.803,7101.832,17897343200.0,0.0
2025-12-02,7084.799,7085.303,7022.61,7040.301,14951819700.0,0.0
2025-12-03,7044.857,7064.16,6975.089,6996.355,15783886700.0,0.0
2025-12-04,7001.642,7039.716,6958.632,7012.806,14103833800.0,0.0
2025-12-05,7008.649,7104.021,6965.806,7097.839,16873827400.0,0.0
2025-12-08,7119.051,7193.723,7114.323,7172.367,19261175000.0,0.0
2025-12-09,7150.973,7185.107,7103.833,7121.326,16690106600.0,0.0
2025-12-10,7111.571,7171.973,7070.475,7155.994,15396782700.0,0.0
2025-12-11,7171.208,7179.425,7082.893,7082.893,18184855400.0,0.0
2025-12-12,7088.1,7187.1,7063.841,7169.791,19840247300.0,0.0
2025-12-15,7121.381,7177.154,7110.678,7113.962,17217406400.0,0.0
2025-12-16,7101.67,7102.772,6962.645,7001.319,17206587400.0,0.0
2025-12-17,7002.506,7160.776,6988.871,7137.834,17441313600.0,0.0
2025-12-18,7096.982,7172.962,7094.54,7100.836,15489612300.0,0.0
2025-12-19,7124.405,7197.068,7117.158,7169.551,17884314600.0,0.0
2025-12-22,7205.489,7277.386,7205.489,7255.661,17824288100.0,0.0
2025-12-23,7257.908,7297.703,7228.723,7256.786,17347600200.0,0.0
2025-12-24,7257.615,7362.57,7247.405,7352.04,16883771300.0,0.0
2025-12-25,7341.922,7426.137,7334.34,7410.712,16841420100.0,0.0
2025-12-26,7422.601,7484.916,7397.426,7458.839,19927688400.0,0.0
2025-12-29,7467.504,7491.693,7411.447,7430.615,19884433800.0,0.0
2025-12-30,7390.14,7495.061,7389.869,7458.936,19620361500.0,0.0
2025-12-31,7473.752,7488.066,7435.066,7465.574,19442774300.0,0.0
2026-01-05,7523.875,7651.238,7523.248,7651.198,25185386300.0,0.0
2026-01-06,7663.942,7814.651,7663.662,7814.136,31312510200.0,0.0
2026-01-07,7838.912,7909.656,7828.394,7875.082,29390344000.0,0.0
2026-01-08,7853.209,7938.595,7849.068,7894.545,29356173500.0,0.0
2026-01-09,7907.849,8064.758,7907.849,8056.686,31462467400.0,0.0
2026-01-12,8141.626,8261.354,8103.238,8249.128,33523628600.0,0.0
2026-01-13,8270.422,8270.422,8106.61,8143.28,36413103300.0,0.0
2026-01-14,8165.352,8368.222,8123.405,8227.697,42276600200.0,0.0
2026-01-15,8170.349,8249.031,8148.788,8223.268,31359583000.0,0.0
2026-01-16,8241.693,8292.741,8204.525,8232.674,28197904200.0,0.0
2026-01-19,8199.499,8318.37,8195.089,8287.947,26149738200.0,0.0
2026-01-20,8307.642,8342.874,8142.142,8247.805,28986446000.0,0.0
2026-01-21,8196.557,8351.455,8196.557,8340.113,24330438100.0,0.0
2026-01-22,8355.678,8396.133,8337.195,8387.595,26880524300.0,0.0
2026-01-23,8422.356,8590.166,8417.752,8590.166,31969006900.0,0.0
2026-01-26,8624.888,8671.346,8453.476,8506.693,34928559700.0,0.0
2026-01-27,8464.65,8581.105,8368.175,8548.932,30285260600.0,0.0
2026-01-28,8565.339,8633.147,8526.534,8601.164,31177425700.0,0.0
2026-01-29,8584.681,8658.945,8503.095,8517.843,35419838700.0,0.0
2026-01-30,8439.652,8496.337,8194.584,8370.52,32894717000.0,0.0
2026-02-02,8279.715,8324.434,8032.35,8037.046,29964602200.0,0.0
2026-02-03,8135.87,8286.701,8075.374,8286.701,27222713600.0,0.0
2026-02-04,8270.842,8309.858,8179.352,8299.057,26886027700.0,0.0
2026-02-05,8203.063,8224.785,8081.428,8146.107,23184051500.0,0.0
2026-02-06,8054.218,8247.297,8014.66,8146.413,21864214400.0,0.0
2026-02-09,8280.109,8313.469,8229.003,8311.283,21166756600.0,0.0
2026-02-10,8318.533,8331.986,8258.152,8306.445,19580622000.0,0.0
2026-02-11,8295.333,8373.503,8295.122,8325.811,20401970300.0,0.0
2026-02-12,8342.365,8437.42,8341.771,8423.57,21213831800.0,0.0
2026-02-13,8366.333,8419.762,8290.839,8299.585,20278572500.0,0.0
2026-02-24,8403.311,8444.128,8328.568,8392.91,22462927800.0,0.0
2026-02-25,8412.08,8551.535,8401.597,8527.559,27789338900.0,0.0
2026-02-26,8542.832,8582.763,8490.922,8557.216,25411176500.0,0.0
2026-02-27,8499.796,8658.45,8499.796,8658.45,28036116700.0,0.0
2026-03-02,8585.853,8683.982,8551.46,8658.334,33903229600.0,0.0
2026-03-03,8651.06,8654.568,8267.109,8281.614,34615390600.0,0.0
2026-03-04,8167.981,8377.174,8167.981,8248.945,27210771400.0,0.0
2026-03-05,8383.546,8391.037,8251.106,8309.171,25634345400.0,0.0
2026-03-06,8273.183,8394.334,8258.645,8360.335,23451496000.0,0.0
2026-03-09,8234.193,8305.925,8066.141,8279.481,28651851000.0,0.0
2026-03-10,8341.145,8412.933,8330.935,8410.303,23994135800.0,0.0
2026-03-11,8419.311,8439.619,8379.033,8403.33,26448738900.0,0.0
2026-03-12,8396.722,8433.037,8290.588,8359.472,28243650400.0,0.0
2026-03-13,8317.78,8371.716,8217.969,8239.798,28813099000.0,0.0
2026-03-16,8227.693,8233.655,8060.782,8185.152,25620598200.0,0.0
2026-03-17,8199.993,8207.461,8016.002,8016.026,23013280000.0,0.0
2026-03-18,8044.919,8105.955,7958.45,8096.428,20649392300.0,0.0
2026-03-19,7975.848,8000.43,7844.152,7877.09,21974486600.0,0.0
2026-03-20,7913.485,7941.586,7757.833,7760.037,21944878800.0,0.0
2026-03-23,7623.245,7708.43,7399.042,7440.745,27156102400.0,0.0
2026-03-24,7555.082,7597.373,7379.861,7597.373,22896641800.0,0.0
2026-03-25,7660.401,7806.911,7660.401,7767.665,24071155400.0,0.0
2026-03-26,7757.019,7777.29,7620.777,7642.13,20621612600.0,0.0
2026-03-27,7539.196,7785.378,7539.196,7737.614,18820506600.0,0.0
2026-03-30,7655.153,7766.111,7610.549,7753.723,19783856900.0,0.0
2026-03-31,7740.579,7788.893,7617.326,7617.326,19908603500.0,0.0
2026-04-01,7764.336,7778.988,7689.59,7750.092,17596067000.0,0.0
2026-04-02,7726.445,7740.095,7562.21,7605.293,17208487300.0,0.0
2026-04-03,7636.663,7640.841,7518.346,7534.938,15163735600.0,0.0
2026-04-07,7562.137,7630.136,7529.399,7571.111,14696135700.0,0.0
2026-04-08,7741.635,7945.153,7741.635,7945.153,23193661200.0,0.0
2026-04-09,7865.205,7947.678,7845.958,7898.633,19055565000.0,0.0
2026-04-10,7958.815,8070.648,7953.497,7969.365,20340435100.0,0.0
2026-04-13,7917.919,7990.981,7917.919,7967.697,19494869500.0,0.0
2026-04-14,8039.074,8088.569,8002.648,8088.569,21429567200.0,0.0
2026-04-15,8144.809,8150.622,8020.868,8044.077,20365606600.0,0.0
